experiment,encoder,classifier,fold,accuracy,macro_f1,ordinal_mae,recall_tight,recall_regular,recall_oversized
experiment_3,dinov2_vit_b14,knn_baseline,1,0.7922077922077922,0.7894500561167228,0.2077922077922078,0.9615384615384616,0.7307692307692307,0.68
experiment_3,dinov2_vit_b14,knn_baseline,2,0.7662337662337663,0.7629365079365079,0.23376623376623376,0.9230769230769231,0.6153846153846154,0.76
experiment_3,dinov2_vit_b14,knn_baseline,3,0.7631578947368421,0.7596153846153847,0.23684210526315788,0.88,0.6,0.8076923076923077
experiment_3,dinov2_vit_b14,knn_baseline,4,0.8552631578947368,0.8542801736079046,0.14473684210526316,0.96,0.76,0.8461538461538461
experiment_3,dinov2_vit_b14,knn_baseline,5,0.8157894736842105,0.808628076429934,0.18421052631578946,0.96,0.6,0.8846153846153846
experiment_3,dinov2_vit_b14,logistic_regression,1,0.7662337662337663,0.7619753086419753,0.23376623376623376,0.9615384615384616,0.6153846153846154,0.72
experiment_3,dinov2_vit_b14,logistic_regression,2,0.8441558441558441,0.843076923076923,0.15584415584415584,0.8846153846153846,0.7307692307692307,0.92
experiment_3,dinov2_vit_b14,logistic_regression,3,0.8421052631578947,0.8382197323373793,0.17105263157894737,0.92,0.68,0.9230769230769231
experiment_3,dinov2_vit_b14,logistic_regression,4,0.8552631578947368,0.855232961108972,0.14473684210526316,0.96,0.76,0.8461538461538461
experiment_3,dinov2_vit_b14,logistic_regression,5,0.9078947368421053,0.9068463611859837,0.09210526315789473,1.0,0.84,0.8846153846153846
experiment_3,dinov2_vit_b14,linear_svm,1,0.7792207792207793,0.7766876310272538,0.22077922077922077,0.9615384615384616,0.6538461538461539,0.72
experiment_3,dinov2_vit_b14,linear_svm,2,0.8701298701298701,0.8702564102564102,0.12987012987012986,0.9230769230769231,0.8076923076923077,0.88
experiment_3,dinov2_vit_b14,linear_svm,3,0.8157894736842105,0.8090738032716428,0.19736842105263158,0.92,0.6,0.9230769230769231
experiment_3,dinov2_vit_b14,linear_svm,4,0.8552631578947368,0.855232961108972,0.14473684210526316,0.96,0.76,0.8461538461538461
